site,site.abbrev,plot.treat,plot.orient,species,quad,grid,treat,bloom.start,bloom.end,date.harvest,num.flowers,num.fruits,height,leaf.length,X.stems,X.leaves,num.sharpie.flowers,fruit.collected,dev.seed1,undev.seed1,weight.1,dev.seed,undev.seed,seed.weight
AveryPicnic,AP,manip,north,Mertensia fusiformis,23,N,open-hand,6/19/19,07/10/2019,07/12/2019,29,9,12.2,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,0.014
AveryPicnic,AP,manip,north,Mertensia fusiformis,25,C,open-hand,6/19/19,07/02/2019,07/12/2019,23,10,18.2,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,0.029
AveryPicnic,AP,manip,north,Mertensia fusiformis,29,O,open,6/19/19,7/16/19,7/16/19,54,14,15.9,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,0.013
Pfieler,PF,manip,north,Mertensia fusiformis,5,N,open,6/20/19,07/09/2019,07/11/2019,69,33,17.1,NA,NA,NA,NA,NA,NA,NA,NA,99,NA,0.058
Pfieler,PF,manip,north,Mertensia fusiformis,5,M,open-hand,6/20/19,07/03/2019,07/11/2019,43,11,15,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,0.019
Pfieler,PF,manip,north,Mertensia fusiformis,6,N,open,6/20/19,07/09/2019,07/11/2019,23,7,10.5,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,0.022
Pfieler,PF,manip,north,Mertensia fusiformis,6,H,open,6/20/19,07/09/2019,07/11/2019,44,12,10.7,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,0.029
Pfieler,PF,manip,north,Mertensia fusiformis,6,O,open-hand,6/20/19,7/15/19,7/15/19,52,12,15.3,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,0.028
Pfieler,PF,manip,north,Mertensia fusiformis,6,B,open-hand,6/20/19,07/11/2019,07/11/2019,75,25,15.5,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,0.055
Pfieler,PF,manip,north,Mertensia fusiformis,7,F,open,6/20/19,7/15/19,7/15/19,54,12,17.2,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,0.05
Pfieler,PF,manip,north,Mertensia fusiformis,8,K,open,6/27/19,07/09/2019,07/11/2019,19,11,13,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,0.023
Pfieler,PF,manip,north,Mertensia fusiformis,8,B,open-hand,6/20/19,7/15/19,7/15/19,34,12,14.7,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,0.01
Pfieler,PF,manip,north,Mertensia fusiformis,9,H,open-hand,6/20/19,07/11/2019,07/11/2019,69,20,22.5,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,0.025
Pfieler,PF,manip,north,Mertensia fusiformis,10,C,open,6/27/19,7/15/19,7/15/19,35,16,14.3,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,0.03
Pfieler,PF,manip,north,Mertensia fusiformis,15,O,open-hand,6/20/19,07/11/2019,07/11/2019,56,6,16,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,0.015
Pfieler,PF,manip,north,Mertensia fusiformis,16,M,open-hand,6/20/19,07/11/2019,7/15/19,39,10,17.4,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,0.029
Pfieler,PF,manip,north,Mertensia fusiformis,21,J,open,6/27/19,07/09/2019,7/15/19,41,17,13.1,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,0.03
Pfieler,PF,manip,north,Mertensia fusiformis,21,K,open-hand,6/20/19,07/09/2019,7/15/19,16,3,14.4,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,0.006
StupidFalls,SF,manip,south,Mertensia fusiformis,1,M,open,06/06/2019,07/05/2019,07/08/2019,65,24,10.5,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,0.017
StupidFalls,SF,manip,south,Mertensia fusiformis,8,O,open,06/06/2019,07/05/2019,07/08/2019,77,22,10,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,0.017
StupidFalls,SF,manip,south,Mertensia fusiformis,9,E,open-hand,06/11/2019,07/02/2019,07/08/2019,44,8,14.4,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,0.013
StupidFalls,SF,manip,south,Mertensia fusiformis,10,O,open,06/11/2019,07/05/2019,07/08/2019,35,6,15.5,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,0
StupidFalls,SF,manip,south,Mertensia fusiformis,10,N,open-hand,06/06/2019,6/28/19,07/08/2019,44,12,11,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,0.01
StupidFalls,SF,manip,south,Mertensia fusiformis,11,F,open,06/11/2019,07/05/2019,07/08/2019,33,12,12,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,0.009
StupidFalls,SF,manip,south,Mertensia fusiformis,11,A,open-hand,06/11/2019,07/02/2019,07/08/2019,30,2,11.5,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,0.001
StupidFalls,SF,manip,south,Mertensia fusiformis,12,G,open,06/06/2019,07/05/2019,07/08/2019,45,13,12,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,0.02
StupidFalls,SF,manip,south,Mertensia fusiformis,13,B,open,06/11/2019,6/28/19,07/08/2019,39,6,10,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,0.001
StupidFalls,SF,manip,south,Mertensia fusiformis,13,H,open,06/06/2019,07/05/2019,07/08/2019,85,32,14,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,0.029
StupidFalls,SF,manip,south,Mertensia fusiformis,13,M,open-hand,06/11/2019,07/02/2019,07/08/2019,78,27,10.5,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,0.052
StupidFalls,SF,manip,south,Mertensia fusiformis,14,B,open,06/11/2019,07/05/2019,07/08/2019,19,0,6.5,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
StupidFalls,SF,manip,south,Mertensia fusiformis,14,K,open-hand,06/11/2019,07/05/2019,07/08/2019,48,11,12.8,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,0.014
StupidFalls,SF,manip,south,Mertensia fusiformis,14,F,open-hand,06/06/2019,07/02/2019,07/08/2019,49,17,12,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,0.02
StupidFalls,SF,manip,south,Mertensia fusiformis,15,J,open-hand,06/06/2019,07/08/2019,07/08/2019,57,16,13,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,0.018
StupidFalls,SF,manip,south,Mertensia fusiformis,16,B,open-hand,06/11/2019,6/28/19,07/08/2019,22,4,12.3,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,0.008
WG3C,WG3C,manip,south,Mertensia fusiformis,18,B,open-hand,6/13/19,07/03/2019,07/11/2019,35,5,12.2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,0.008
WG3C,WG3C,manip,south,Mertensia fusiformis,19,G,open,6/17/19,07/03/2019,07/11/2019,25,0,22,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
WG3C,WG3C,manip,south,Mertensia fusiformis,19,P,open-hand,6/13/19,07/01/2019,07/11/2019,44,11,8.5,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,0.008
WG3C,WG3C,manip,south,Mertensia fusiformis,20,F,open-hand,6/13/19,6/27/19,07/11/2019,10,3,13,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,0.001
WG3C,WG3C,manip,south,Mertensia fusiformis,21,E,open,6/13/19,07/03/2019,07/11/2019,26,7,13.5,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,0.006
WG3C,WG3C,manip,south,Mertensia fusiformis,21,G,open-hand,6/13/19,07/01/2019,07/11/2019,36,6,11.8,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,0.01
WG3C,WG3C,manip,south,Mertensia fusiformis,24,K,open,6/13/19,07/03/2019,07/11/2019,42,10,10.1,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,0.005
WG3C,WG3C,manip,south,Mertensia fusiformis,24,M,open-hand,6/13/19,07/03/2019,07/11/2019,49,8,14.9,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,0.008
WG3C,WG3C,manip,south,Mertensia fusiformis,26,M,open,6/17/19,07/03/2019,07/11/2019,25,2,11.5,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,0.006
WG3C,WG3C,manip,south,Mertensia fusiformis,26,G,open,6/17/19,07/03/2019,07/11/2019,16,7,16.8,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,0.01
WG3C,WG3C,manip,south,Mertensia fusiformis,26,L,open-hand,6/13/19,6/27/19,07/11/2019,22,6,12.2,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,0
WG3C,WG3C,manip,south,Mertensia fusiformis,29,J,open,6/13/19,07/03/2019,07/11/2019,42,7,12.9,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,0.006
WG3C,WG3C,manip,south,Mertensia fusiformis,29,F,open-hand,6/13/19,07/03/2019,07/11/2019,35,15,15.8,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,0.009
WG3C,WG3C,manip,south,Mertensia fusiformis,30,O,open,6/13/19,07/03/2019,07/11/2019,21,1,8.8,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0
WG3C,WG3C,manip,south,Mertensia fusiformis,30,F,open,6/17/19,07/09/2019,07/11/2019,17,1,16.2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0
WG3C,WG3C,manip,south,Mertensia fusiformis,30,I,open-hand,6/13/19,07/03/2019,07/11/2019,70,12,15.2,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,0.013
AveryPicnic,AP,control,south,Potentilla pulcherrima,5,B,open,08/02/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,0.016
AveryPicnic,AP,control,south,Potentilla pulcherrima,5,K,open-hand,7/26/19,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,14,NA,0.004,103,NA,0.02
AveryPicnic,AP,control,south,Potentilla pulcherrima,7,G,open,08/02/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,0.007
AveryPicnic,AP,control,south,Potentilla pulcherrima,7,I,open,7/30/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,0.019
AveryPicnic,AP,control,south,Potentilla pulcherrima,7,N,open-hand,7/26/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,0.022
AveryPicnic,AP,control,south,Potentilla pulcherrima,7,O,open-hand,7/26/19,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,72,NA,0.01,131,NA,0.053
AveryPicnic,AP,control,south,Potentilla pulcherrima,8,N,open,7/26/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,0.025
AveryPicnic,AP,control,south,Potentilla pulcherrima,8,G,open-hand,7/26/19,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,26,NA,0.003,90,NA,0.024
AveryPicnic,AP,control,south,Potentilla pulcherrima,9,E,open,7/30/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,0.013
AveryPicnic,AP,control,south,Potentilla pulcherrima,10,D,open-hand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,326,NA,0.065
AveryPicnic,AP,control,south,Potentilla pulcherrima,10,K,open-hand,7/26/19,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,76,NA,0.012,161,NA,0.029
AveryPicnic,AP,control,south,Potentilla pulcherrima,25,N,open,7/26/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209,NA,0.042
AveryPicnic,AP,control,south,Potentilla pulcherrima,25,O,open,7/26/19,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,42,NA,0.009,84,NA,0.037
AveryPicnic,AP,control,south,Potentilla pulcherrima,26,O,open,7/26/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,577,NA,0.119
AveryPicnic,AP,control,south,Potentilla pulcherrima,26,N,open-hand,7/26/19,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,99,NA,0.021,NA,NA,NA
AveryPicnic,AP,control,south,Potentilla pulcherrima,29,O,open,7/26/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,511,NA,0.121
AveryPicnic,AP,control,south,Potentilla pulcherrima,29,E,open-hand,7/26/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,NA,0.06
BellviewBench,BB,control,north,Potentilla pulcherrima,3,D,open,7/26/19,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256,NA,0.052
BellviewBench,BB,control,north,Potentilla pulcherrima,3,A,open-hand,08/07/2019,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
BellviewBench,BB,control,north,Potentilla pulcherrima,12,B,open,08/07/2019,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
BellviewBench,BB,control,north,Potentilla pulcherrima,17,L,open,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,0
BellviewBench,BB,control,north,Potentilla pulcherrima,17,L,open-hand,08/07/2019,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
BellviewBench,BB,control,north,Potentilla pulcherrima,21,E,open,7/26/19,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,NA,0.026
BellviewBench,BB,control,north,Potentilla pulcherrima,21,F,open-hand,7/26/19,NA,NA,13,NA,NA,NA,NA,NA,2,NA,20,NA,0.001,50,NA,0.009
BellviewBench,BB,control,north,Potentilla pulcherrima,24,E,open,7/26/19,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,0.025
BellviewBench,BB,control,north,Potentilla pulcherrima,24,E,open-hand,7/26/19,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136,NA,0.025
BellviewBench,BB,control,north,Potentilla pulcherrima,25,A,open-hand,08/07/2019,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
BellviewBench,BB,control,north,Potentilla pulcherrima,26,D,open,08/07/2019,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,0
BellviewBench,BB,control,north,Potentilla pulcherrima,27,D,open,7/31/19,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,0
BellviewBench,BB,control,north,Potentilla pulcherrima,27,B,open-hand,7/31/19,NA,NA,14,NA,NA,NA,NA,NA,1,NA,12,NA,0,3,NA,0
BellviewBench,BB,control,north,Potentilla pulcherrima,30,A,open,7/26/19,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,0.044
BellviewBench,BB,control,north,Potentilla pulcherrima,30,A,open-hand,7/26/19,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,0.015
BellviewBench,BB,control,north,Potentilla pulcherrima,30,M,open-hand,7/26/19,NA,NA,6,NA,NA,NA,NA,NA,1,NA,19,NA,0.002,22,NA,0.004
Meridian,MR,control,north,Potentilla pulcherrima,1,N,open,7/25/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,0.009
Meridian,MR,control,north,Potentilla pulcherrima,1,M,open-hand,7/25/19,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,11,NA,0.002,28,NA,0.007
Meridian,MR,control,north,Potentilla pulcherrima,6,L,open,7/29/19,08/06/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174,NA,0.066
Meridian,MR,control,north,Potentilla pulcherrima,6,I,open-hand,7/29/19,08/06/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,0
Meridian,MR,control,north,Potentilla pulcherrima,9,P,open,7/25/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,NA,0.093
Meridian,MR,control,north,Potentilla pulcherrima,9,P,open-hand,7/25/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,0.007
Meridian,MR,control,north,Potentilla pulcherrima,13,N,open,7/25/19,08/06/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,0.009
Meridian,MR,control,north,Potentilla pulcherrima,13,P,open-hand,7/25/19,08/02/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,0.007
Meridian,MR,control,north,Potentilla pulcherrima,16,D,open,7/29/19,08/06/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,NA,0.026
Meridian,MR,control,north,Potentilla pulcherrima,16,I,open-hand,7/29/19,08/02/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,NA,0.035
Meridian,MR,control,north,Potentilla pulcherrima,21,G,open-hand,7/29/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,0.009
Meridian,MR,control,north,Potentilla pulcherrima,23,F,open,7/25/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0
Meridian,MR,control,north,Potentilla pulcherrima,26,L,open,7/29/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,0.006
Meridian,MR,control,north,Potentilla pulcherrima,26,H,open-hand,NA,08/06/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,0.005
Pfieler,PF,control,south,Potentilla pulcherrima,2,B,open,7/29/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,0.02
Pfieler,PF,control,south,Potentilla pulcherrima,2,I,open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,NA,0.018
Pfieler,PF,control,south,Potentilla pulcherrima,2,D,open-hand,7/29/19,08/06/2019,NA,NA,NA,NA,NA,NA,NA,1,NA,45,NA,0.012,99,NA,0.023
Pfieler,PF,control,south,Potentilla pulcherrima,5,C,open-hand,7/18/19,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,21,NA,0.006,188,NA,0.049
Pfieler,PF,control,south,Potentilla pulcherrima,6,F,open,7/15/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,0.013
Pfieler,PF,control,south,Potentilla pulcherrima,14,F,open,7/15/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,0.028
Pfieler,PF,control,south,Potentilla pulcherrima,14,E,open-hand,7/29/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,0.011
Pfieler,PF,control,south,Potentilla pulcherrima,24,P,open,7/22/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192,98,0.055
Pfieler,PF,control,south,Potentilla pulcherrima,24,J,open-hand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,0.008
Pfieler,PF,control,south,Potentilla pulcherrima,24,P,open-hand,7/22/19,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,84,NA,0.014,68,NA,0.024
Pfieler,PF,control,south,Potentilla pulcherrima,25,K,open,7/29/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,0.017
Pfieler,PF,control,south,Potentilla pulcherrima,25,M,open-hand,7/29/19,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,41,NA,0.009,117,NA,0.051
Pfieler,PF,control,south,Potentilla pulcherrima,27,M,open,7/22/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,227,234,0.053
Pfieler,PF,control,south,Potentilla pulcherrima,27,O,open-hand,7/22/19,08/06/2019,NA,NA,NA,NA,NA,NA,NA,1,NA,28,23,0.008,38,102,0.012
Pfieler,PF,control,south,Potentilla pulcherrima,28,O,open,7/18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,85,0.045
Pfieler,PF,control,south,Potentilla pulcherrima,28,J,open-hand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,NA,0.026
Pfieler,PF,control,south,Potentilla pulcherrima,28,C,open-hand,7/18/19,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,29,9,0.007,31,NA,0.009
Pfieler,PF,control,south,Potentilla pulcherrima,30,B,open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,0.006
Pfieler,PF,control,south,Potentilla pulcherrima,30,M,open,7/18/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,NA,0.041
Pfieler,PF,control,south,Potentilla pulcherrima,30,M,open-hand,7/18/19,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,14,43,0,258,107,0.061
RustlersGulch,RG,control,north,Potentilla pulcherrima,5,G,open,7/31/19,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,0.015
RustlersGulch,RG,control,north,Potentilla pulcherrima,5,O,open-hand,7/24/19,NA,NA,9,NA,NA,NA,NA,NA,2,NA,19,NA,0.003,116,NA,0.027
RustlersGulch,RG,control,north,Potentilla pulcherrima,9,L,open,7/31/19,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,0.012
RustlersGulch,RG,control,north,Potentilla pulcherrima,9,J,open-hand,08/07/2019,NA,NA,5,NA,NA,NA,NA,NA,2,NA,32,NA,0.007,47,NA,0.029
RustlersGulch,RG,control,north,Potentilla pulcherrima,11,K,open,7/24/19,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,NA,0.032
RustlersGulch,RG,control,north,Potentilla pulcherrima,11,L,open-hand,7/24/19,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,NA,0.037
RustlersGulch,RG,control,north,Potentilla pulcherrima,15,N,open,7/31/19,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,NA,0.015
RustlersGulch,RG,control,north,Potentilla pulcherrima,15,P,open-hand,7/24/19,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136,NA,0.024
RustlersGulch,RG,control,north,Potentilla pulcherrima,18,I,open,7/24/19,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187,NA,0.038
RustlersGulch,RG,control,north,Potentilla pulcherrima,18,E,open-hand,7/24/19,NA,NA,15,NA,NA,NA,NA,NA,2,NA,30,NA,0.004,254,NA,0.044
RustlersGulch,RG,control,north,Potentilla pulcherrima,22,B,open,08/07/2019,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,NA,0.013
RustlersGulch,RG,control,north,Potentilla pulcherrima,22,J,open-hand,7/24/19,NA,NA,10,NA,NA,NA,NA,NA,1,NA,14,NA,0.001,51,NA,0.01
RustlersGulch,RG,control,north,Potentilla pulcherrima,27,N,open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,0.007
RustlersGulch,RG,control,north,Potentilla pulcherrima,27,E,open,7/31/19,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,0.008
RustlersGulch,RG,control,north,Potentilla pulcherrima,27,N,open-hand,7/24/19,NA,NA,22,NA,NA,NA,NA,NA,2,NA,30,NA,0.005,167,NA,0.019
RustlersGulch,RG,control,north,Potentilla pulcherrima,30,O,open,7/31/19,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,NA,0.01
RustlersGulch,RG,control,north,Potentilla pulcherrima,30,I,open-hand,7/24/19,NA,NA,9,NA,NA,NA,NA,NA,2,NA,30,NA,0.004,138,NA,0.044
StupidFalls,SF,control,north,Potentilla pulcherrima,5,L,open,07/12/2019,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,332,NA,0.123
StupidFalls,SF,control,north,Potentilla pulcherrima,5,D,open,07/12/2019,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,396,NA,0.154
StupidFalls,SF,control,north,Potentilla pulcherrima,5,M,open-hand,07/12/2019,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,0.017
StupidFalls,SF,control,north,Potentilla pulcherrima,5,I,open-hand,07/12/2019,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,NA,0.072
StupidFalls,SF,control,north,Potentilla pulcherrima,10,D,open-hand,07/12/2019,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193,NA,0.094
StupidFalls,SF,control,north,Potentilla pulcherrima,14,G,open,07/12/2019,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211,NA,0.058
StupidFalls,SF,control,north,Potentilla pulcherrima,21,F,open-hand,07/12/2019,08/08/2019,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257,NA,0.074
StupidFalls,SF,control,north,Potentilla pulcherrima,23,M,open,07/12/2019,08/08/2019,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,0.037
StupidFalls,SF,control,north,Potentilla pulcherrima,23,N,open,07/12/2019,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,NA,0.076
StupidFalls,SF,control,north,Potentilla pulcherrima,23,I,open-hand,07/12/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,NA,0.022
StupidFalls,SF,control,north,Potentilla pulcherrima,23,J,open-hand,07/12/2019,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203,NA,0.098
StupidFalls,SF,control,north,Potentilla pulcherrima,24,L,open,07/12/2019,08/08/2019,08/08/2019,12,12,NA,NA,NA,NA,NA,12,NA,NA,NA,80,NA,0.03
StupidFalls,SF,control,north,Potentilla pulcherrima,25,N,open,07/12/2019,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,NA,0.049
StupidFalls,SF,control,north,Potentilla pulcherrima,25,M,open-hand,07/12/2019,08/08/2019,08/08/2019,13,13,NA,NA,NA,NA,NA,13,NA,NA,NA,115,NA,0.044
StupidFalls,SF,control,north,Potentilla pulcherrima,30,O,open,07/12/2019,08/08/2019,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,0.026
StupidFalls,SF,control,north,Potentilla pulcherrima,30,K,open-hand,07/12/2019,08/08/2019,08/08/2019,13,13,NA,NA,NA,NA,NA,13,NA,NA,NA,147,NA,0.052
WG3C,WG3C,control,north,Potentilla pulcherrima,3,E,open,7/25/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,NA,0.083
WG3C,WG3C,control,north,Potentilla pulcherrima,3,A,open-hand,7/25/19,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,58,NA,0.018,204,NA,0.102
WG3C,WG3C,control,north,Potentilla pulcherrima,5,K,open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
WG3C,WG3C,control,north,Potentilla pulcherrima,5,H,open-hand,7/29/19,08/02/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,0.002
WG3C,WG3C,control,north,Potentilla pulcherrima,6,F,open,7/29/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,0.001
